current_idx=176, max_score=0.227808, most_related_idx=178
current_idx=177, max_score=0.178169, most_related_idx=179
current_idx=178, max_score=0.227808, most_related_idx=176
current_idx=179, max_score=0.210603, most_related_idx=181
current_idx=180, max_score=0.157473, most_related_idx=178
current_idx=181, max_score=0.210603, most_related_idx=179
current_idx=182, max_score=0.117337, most_related_idx=180
current_idx=183, max_score=0.197512, most_related_idx=181
current_idx=184, max_score=0.121869, most_related_idx=186
current_idx=185, max_score=0.144494, most_related_idx=183
current_idx=186, max_score=0.121869, most_related_idx=184
current_idx=187, max_score=0.114974, most_related_idx=185
current_idx=188, max_score=0.102026, most_related_idx=186
current_idx=189, max_score=0.128762, most_related_idx=165
current_idx=190, max_score=0.071466, most_related_idx=188
current_idx=191, max_score=0.108333, most_related_idx=193
current_idx=192, max_score=0.074234, most_related_idx=196
current_idx=193, max_score=0.133991, most_related_idx=178
current_idx=194, max_score=0.076986, most_related_idx=198
current_idx=195, max_score=0.106239, most_related_idx=171
current_idx=196, max_score=0.106788, most_related_idx=186
current_idx=197, max_score=0.113711, most_related_idx=177
current_idx=198, max_score=0.095386, most_related_idx=181
current_idx=199, max_score=0.178349, most_related_idx=99
