current_idx=311, max_score=0.024111, most_related_idx=916
current_idx=312, max_score=0.023816, most_related_idx=729
current_idx=313, max_score=0.024749, most_related_idx=345
current_idx=314, max_score=0.041556, most_related_idx=362
current_idx=315, max_score=0.031239, most_related_idx=317
current_idx=316, max_score=0.038889, most_related_idx=362
current_idx=317, max_score=0.036871, most_related_idx=321
current_idx=318, max_score=0.024346, most_related_idx=354
current_idx=319, max_score=0.048083, most_related_idx=561
current_idx=320, max_score=0.044631, most_related_idx=894
current_idx=321, max_score=0.063624, most_related_idx=323
current_idx=322, max_score=0.049964, most_related_idx=376
current_idx=323, max_score=0.063624, most_related_idx=321
current_idx=324, max_score=0.048293, most_related_idx=326
current_idx=325, max_score=0.056315, most_related_idx=327
current_idx=326, max_score=0.097311, most_related_idx=910
current_idx=327, max_score=0.056315, most_related_idx=325
current_idx=328, max_score=0.076779, most_related_idx=910
current_idx=329, max_score=0.033344, most_related_idx=371
current_idx=330, max_score=0.057785, most_related_idx=892
current_idx=331, max_score=0.027453, most_related_idx=323
current_idx=332, max_score=0.081411, most_related_idx=334
current_idx=333, max_score=0.041082, most_related_idx=335
current_idx=334, max_score=0.081411, most_related_idx=332
current_idx=335, max_score=0.041082, most_related_idx=333
current_idx=336, max_score=0.072497, most_related_idx=334
current_idx=337, max_score=0.036568, most_related_idx=335
current_idx=338, max_score=0.104702, most_related_idx=696
current_idx=339, max_score=0.034803, most_related_idx=341
current_idx=340, max_score=0.071529, most_related_idx=338
current_idx=341, max_score=0.056329, most_related_idx=343
current_idx=342, max_score=0.061066, most_related_idx=340
current_idx=343, max_score=0.093119, most_related_idx=398
current_idx=344, max_score=0.052042, most_related_idx=342
current_idx=345, max_score=0.071332, most_related_idx=347
current_idx=346, max_score=0.031190, most_related_idx=468
current_idx=347, max_score=0.082848, most_related_idx=349
current_idx=348, max_score=0.039631, most_related_idx=352
current_idx=349, max_score=0.082848, most_related_idx=347
current_idx=350, max_score=0.064537, most_related_idx=352
current_idx=351, max_score=0.078519, most_related_idx=353
current_idx=352, max_score=0.154571, most_related_idx=354
current_idx=353, max_score=0.107006, most_related_idx=355
current_idx=354, max_score=0.154571, most_related_idx=352
current_idx=355, max_score=0.107006, most_related_idx=353
current_idx=356, max_score=0.079754, most_related_idx=809
current_idx=357, max_score=0.082027, most_related_idx=355
current_idx=358, max_score=0.046989, most_related_idx=374
current_idx=359, max_score=0.064467, most_related_idx=361
current_idx=360, max_score=0.089674, most_related_idx=376
current_idx=361, max_score=0.109339, most_related_idx=696
current_idx=362, max_score=0.185423, most_related_idx=366
current_idx=363, max_score=0.072798, most_related_idx=361
current_idx=364, max_score=0.202871, most_related_idx=366
current_idx=365, max_score=0.073091, most_related_idx=361
current_idx=366, max_score=0.444479, most_related_idx=368
current_idx=367, max_score=0.063499, most_related_idx=369
current_idx=368, max_score=0.444479, most_related_idx=366
current_idx=369, max_score=0.067630, most_related_idx=503
current_idx=370, max_score=0.373725, most_related_idx=368
current_idx=371, max_score=0.088172, most_related_idx=841
current_idx=372, max_score=0.408564, most_related_idx=368
current_idx=373, max_score=0.073288, most_related_idx=372
current_idx=374, max_score=0.305368, most_related_idx=372
current_idx=375, max_score=0.071025, most_related_idx=373
current_idx=376, max_score=0.310757, most_related_idx=368
current_idx=377, max_score=0.061005, most_related_idx=375
current_idx=378, max_score=0.362667, most_related_idx=368
current_idx=379, max_score=0.062992, most_related_idx=381
current_idx=380, max_score=0.278528, most_related_idx=368
current_idx=381, max_score=0.062992, most_related_idx=379
current_idx=382, max_score=0.154782, most_related_idx=368
current_idx=383, max_score=0.069538, most_related_idx=553
current_idx=384, max_score=0.235013, most_related_idx=390
current_idx=385, max_score=0.043825, most_related_idx=847
current_idx=386, max_score=0.251029, most_related_idx=388
current_idx=387, max_score=0.048092, most_related_idx=807
current_idx=388, max_score=0.381265, most_related_idx=390
current_idx=389, max_score=0.104803, most_related_idx=853
current_idx=390, max_score=0.399922, most_related_idx=392
current_idx=391, max_score=0.050317, most_related_idx=759
current_idx=392, max_score=0.459815, most_related_idx=396
current_idx=393, max_score=0.057076, most_related_idx=399
current_idx=394, max_score=0.459383, most_related_idx=396
current_idx=395, max_score=0.069221, most_related_idx=378
current_idx=396, max_score=0.461307, most_related_idx=398
current_idx=397, max_score=0.071940, most_related_idx=399
current_idx=398, max_score=0.461307, most_related_idx=396
current_idx=399, max_score=0.096743, most_related_idx=853
current_idx=400, max_score=0.408154, most_related_idx=398
current_idx=401, max_score=0.094576, most_related_idx=859
current_idx=402, max_score=0.307897, most_related_idx=398
current_idx=403, max_score=0.090974, most_related_idx=807
current_idx=404, max_score=0.115499, most_related_idx=394
current_idx=405, max_score=0.080234, most_related_idx=407
current_idx=406, max_score=0.056240, most_related_idx=785
current_idx=407, max_score=0.080234, most_related_idx=405
current_idx=408, max_score=0.048890, most_related_idx=410
current_idx=409, max_score=0.085965, most_related_idx=388
current_idx=410, max_score=0.153315, most_related_idx=396
current_idx=411, max_score=0.083715, most_related_idx=413
current_idx=412, max_score=0.162140, most_related_idx=414
current_idx=413, max_score=0.083715, most_related_idx=411
current_idx=414, max_score=0.162140, most_related_idx=412
current_idx=415, max_score=0.077939, most_related_idx=413
current_idx=416, max_score=0.048247, most_related_idx=845
current_idx=417, max_score=0.042731, most_related_idx=419
current_idx=418, max_score=0.040489, most_related_idx=909
current_idx=419, max_score=0.052836, most_related_idx=503
current_idx=420, max_score=0.048543, most_related_idx=376
current_idx=421, max_score=0.045315, most_related_idx=931
current_idx=422, max_score=0.048949, most_related_idx=432
current_idx=423, max_score=0.045246, most_related_idx=425
current_idx=424, max_score=0.055496, most_related_idx=426
current_idx=425, max_score=0.045246, most_related_idx=423
current_idx=426, max_score=0.071239, most_related_idx=430
current_idx=427, max_score=0.052351, most_related_idx=433
current_idx=428, max_score=0.101189, most_related_idx=430
current_idx=429, max_score=0.050849, most_related_idx=433
current_idx=430, max_score=0.101189, most_related_idx=428
current_idx=431, max_score=0.067534, most_related_idx=433
current_idx=432, max_score=0.085081, most_related_idx=444
current_idx=433, max_score=0.073149, most_related_idx=441
current_idx=434, max_score=0.101760, most_related_idx=450
current_idx=435, max_score=0.064515, most_related_idx=433
current_idx=436, max_score=0.080813, most_related_idx=450
current_idx=437, max_score=0.065730, most_related_idx=441
current_idx=438, max_score=0.077338, most_related_idx=436
current_idx=439, max_score=0.073577, most_related_idx=441
current_idx=440, max_score=0.066793, most_related_idx=430
current_idx=441, max_score=0.109783, most_related_idx=443
current_idx=442, max_score=0.085873, most_related_idx=450
current_idx=443, max_score=0.109783, most_related_idx=441
current_idx=444, max_score=0.097250, most_related_idx=448
current_idx=445, max_score=0.106253, most_related_idx=449
current_idx=446, max_score=0.112407, most_related_idx=394
current_idx=447, max_score=0.094811, most_related_idx=445
current_idx=448, max_score=0.130675, most_related_idx=394
current_idx=449, max_score=0.106253, most_related_idx=445
current_idx=450, max_score=0.114026, most_related_idx=448
current_idx=451, max_score=0.121552, most_related_idx=453
current_idx=452, max_score=0.094009, most_related_idx=450
current_idx=453, max_score=0.121552, most_related_idx=451
current_idx=454, max_score=0.056275, most_related_idx=452
current_idx=455, max_score=0.126613, most_related_idx=457
current_idx=456, max_score=0.068087, most_related_idx=458
current_idx=457, max_score=0.126613, most_related_idx=455
current_idx=458, max_score=0.068602, most_related_idx=460
current_idx=459, max_score=0.098235, most_related_idx=455
current_idx=460, max_score=0.093905, most_related_idx=462
