current_idx=209, max_score=0.033280, most_related_idx=211
current_idx=210, max_score=0.051271, most_related_idx=208
current_idx=211, max_score=0.039398, most_related_idx=213
current_idx=212, max_score=0.050490, most_related_idx=208
current_idx=213, max_score=0.039398, most_related_idx=211
current_idx=214, max_score=0.042971, most_related_idx=274
current_idx=215, max_score=0.032482, most_related_idx=217
current_idx=216, max_score=0.039843, most_related_idx=23
current_idx=217, max_score=0.042768, most_related_idx=219
current_idx=218, max_score=0.046921, most_related_idx=246
current_idx=219, max_score=0.042768, most_related_idx=217
current_idx=220, max_score=0.030831, most_related_idx=102
current_idx=221, max_score=0.031813, most_related_idx=219
current_idx=222, max_score=0.038151, most_related_idx=234
current_idx=223, max_score=0.030859, most_related_idx=16
current_idx=224, max_score=0.046151, most_related_idx=40
current_idx=225, max_score=0.031610, most_related_idx=17
current_idx=226, max_score=0.044728, most_related_idx=266
current_idx=227, max_score=0.039983, most_related_idx=229
current_idx=228, max_score=0.048076, most_related_idx=266
current_idx=229, max_score=0.039983, most_related_idx=227
current_idx=230, max_score=0.056500, most_related_idx=258
current_idx=231, max_score=0.036632, most_related_idx=229
current_idx=232, max_score=0.047474, most_related_idx=82
current_idx=233, max_score=0.035424, most_related_idx=235
current_idx=234, max_score=0.064304, most_related_idx=26
current_idx=235, max_score=0.040790, most_related_idx=237
current_idx=236, max_score=0.044322, most_related_idx=294
current_idx=237, max_score=0.040790, most_related_idx=235
current_idx=238, max_score=0.037868, most_related_idx=290
current_idx=239, max_score=0.034190, most_related_idx=294
current_idx=240, max_score=0.035763, most_related_idx=30
current_idx=241, max_score=0.030564, most_related_idx=239
current_idx=242, max_score=0.025559, most_related_idx=70
current_idx=243, max_score=0.033058, most_related_idx=290
current_idx=244, max_score=0.029677, most_related_idx=294
current_idx=245, max_score=0.035826, most_related_idx=288
current_idx=246, max_score=0.046921, most_related_idx=218
current_idx=247, max_score=0.035756, most_related_idx=251
current_idx=248, max_score=0.046974, most_related_idx=23
current_idx=249, max_score=0.037878, most_related_idx=296
current_idx=250, max_score=0.055409, most_related_idx=26
current_idx=251, max_score=0.043507, most_related_idx=81
current_idx=252, max_score=0.053149, most_related_idx=254
current_idx=253, max_score=0.047346, most_related_idx=234
current_idx=254, max_score=0.057251, most_related_idx=234
current_idx=255, max_score=0.046949, most_related_idx=290
current_idx=256, max_score=0.063388, most_related_idx=26
current_idx=257, max_score=0.046698, most_related_idx=302
current_idx=258, max_score=0.056500, most_related_idx=230
current_idx=259, max_score=0.048314, most_related_idx=288
current_idx=260, max_score=0.048148, most_related_idx=82
current_idx=261, max_score=0.047400, most_related_idx=288
current_idx=262, max_score=0.057382, most_related_idx=266
current_idx=263, max_score=0.043752, most_related_idx=290
current_idx=264, max_score=0.036615, most_related_idx=266
current_idx=265, max_score=0.042389, most_related_idx=81
current_idx=266, max_score=0.059599, most_related_idx=234
current_idx=267, max_score=0.039392, most_related_idx=269
current_idx=268, max_score=0.051921, most_related_idx=254
current_idx=269, max_score=0.041322, most_related_idx=271
current_idx=270, max_score=0.048365, most_related_idx=82
current_idx=271, max_score=0.041322, most_related_idx=269
current_idx=272, max_score=0.049113, most_related_idx=252
current_idx=273, max_score=0.047818, most_related_idx=275
current_idx=274, max_score=0.043779, most_related_idx=234
current_idx=275, max_score=0.047818, most_related_idx=273
current_idx=276, max_score=0.035227, most_related_idx=26
current_idx=277, max_score=0.046283, most_related_idx=279
current_idx=278, max_score=0.046854, most_related_idx=290
current_idx=279, max_score=0.052048, most_related_idx=281
current_idx=280, max_score=0.047846, most_related_idx=26
current_idx=281, max_score=0.052048, most_related_idx=279
current_idx=282, max_score=0.042665, most_related_idx=234
current_idx=283, max_score=0.051850, most_related_idx=285
current_idx=284, max_score=0.043166, most_related_idx=290
current_idx=285, max_score=0.053682, most_related_idx=287
current_idx=286, max_score=0.056054, most_related_idx=82
current_idx=287, max_score=0.058388, most_related_idx=289
current_idx=288, max_score=0.057256, most_related_idx=234
current_idx=289, max_score=0.058388, most_related_idx=287
current_idx=290, max_score=0.058036, most_related_idx=38
current_idx=291, max_score=0.058229, most_related_idx=293
current_idx=292, max_score=0.056711, most_related_idx=82
current_idx=293, max_score=0.058986, most_related_idx=295
current_idx=294, max_score=0.058454, most_related_idx=234
current_idx=295, max_score=0.058986, most_related_idx=293
current_idx=296, max_score=0.053144, most_related_idx=26
current_idx=297, max_score=0.058724, most_related_idx=295
current_idx=298, max_score=0.050816, most_related_idx=86
current_idx=299, max_score=0.070037, most_related_idx=301
current_idx=300, max_score=0.052994, most_related_idx=234
current_idx=301, max_score=0.070037, most_related_idx=299
current_idx=302, max_score=0.055510, most_related_idx=26
current_idx=303, max_score=0.049722, most_related_idx=301
current_idx=304, max_score=0.044995, most_related_idx=290
current_idx=305, max_score=0.044148, most_related_idx=301
current_idx=306, max_score=0.042189, most_related_idx=234
current_idx=307, max_score=0.049928, most_related_idx=294
current_idx=308, max_score=0.053991, most_related_idx=26
current_idx=309, max_score=0.050293, most_related_idx=86
current_idx=310, max_score=0.041236, most_related_idx=90
current_idx=311, max_score=0.037596, most_related_idx=90
current_idx=312, max_score=0.035241, most_related_idx=26
current_idx=313, max_score=0.026731, most_related_idx=211
current_idx=314, max_score=0.038400, most_related_idx=23
current_idx=315, max_score=0.030660, most_related_idx=166
current_idx=316, max_score=0.033401, most_related_idx=191
current_idx=317, max_score=0.035032, most_related_idx=321
current_idx=318, max_score=0.031012, most_related_idx=37
current_idx=319, max_score=0.049073, most_related_idx=321
current_idx=320, max_score=0.028479, most_related_idx=290
current_idx=321, max_score=0.049073, most_related_idx=319
current_idx=322, max_score=0.027740, most_related_idx=133
current_idx=323, max_score=0.044446, most_related_idx=321
current_idx=324, max_score=0.036250, most_related_idx=328
current_idx=325, max_score=0.041856, most_related_idx=323
current_idx=326, max_score=0.033822, most_related_idx=330
current_idx=327, max_score=0.044786, most_related_idx=152
current_idx=328, max_score=0.036250, most_related_idx=324
current_idx=329, max_score=0.037419, most_related_idx=327
current_idx=330, max_score=0.038025, most_related_idx=332
current_idx=331, max_score=0.038851, most_related_idx=335
current_idx=332, max_score=0.045328, most_related_idx=334
current_idx=333, max_score=0.034658, most_related_idx=329
